Run Date,4/30/2015 12:02:30
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,750,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
2,1765,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
3,2765,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
4,3765,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
5,4765,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
6,5765,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
7,6765,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
8,7765,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
9,8765,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
10,9765,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
11,10765,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
12,11781,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
13,12765,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
14,13765,0,0,0,301,76,38,42008,41913,41008,42677,43843,47737,42159,42072,41150,42832,44015,47897,41079,40804,39892,41460,42533,46231,76,52,43,67,64,56,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
